"M_range","Site","Plot","Z","Type","Essence","Diameter","Position","Contact","Sap_max","P_Bux","X","Y"
"Massif_central","M2","M2",1391.735016,"Bois mort au sol","Résineux",40,"Autre","Total","4","0",683886.707374117,6440878.04379504
"Massif_central","M2","M2",1395.20506,"Bois mort au sol","Résineux",40,"Perpandiculaire","Partiel","3","1",683889.226507111,6440878.25939056
"Massif_central","M2","M2",1401.900024,"Souche","Résineux",65,NA,NA,"4","0",683883.867085099,6440875.38564177
"Massif_central","M2","M2",1402.310059,"Bois mort au sol","Résineux",45,"Autre","Total","4","1",683873.583251062,6440885.63013776
"Massif_central","M2","M2",1398.029993,"Bois mort au sol","Résineux",65,"Axe de pente","Total","4","1",683864.545461628,6440890.76250583
"Massif_central","M2","M2",1394.84502,"Bois mort au sol","Feuillus",25,"Axe de pente","Partiel","3","0",683858.958289722,6440891.11020422
"Massif_central","M2","M2",1404.549988,"Bois mort au sol","Résineux",35,"Autre","Total","3","0",683856.692296323,6440897.44669522
"Massif_central","M2","M2",1409.700073,"Souche","Résineux",85,NA,NA,"4","0",683857.636752312,6440897.44424198
"Massif_central","M2","M2",1409.825031,"Souche","Résineux",65,NA,NA,"4","0",683855.028534399,6440893.23061371
"Massif_central","M2","M2",1409.750031,"Bois mort au sol","Résineux",25,"Perpandiculaire","Partiel","4","0",683854.245526753,6440894.78753341
"Massif_central","M2","M2",1407.500024,"Bois mort au sol","Résineux",15,"Axe de pente","Partiel","4","0",683852.89802429,6440891.12594706
"Massif_central","M2","M2",1404.915021,"Bois mort au sol","Résineux",25,"Perpandiculaire","Total","5","0",683848.815191137,6440894.91270698
"Massif_central","M2","M2",1402.700073,"Bois mort au sol","Résineux",35,"Axe de pente","Total","3","0",683843.241305655,6440900.3692945
"Massif_central","M2","M2",1408.705072,"Bois mort au sol","Résineux",15,"Axe de pente","Partiel","4","0",683838.455919677,6440906.37915265
"Massif_central","M2","M2",1398.695026,"Bois mort au sol","Résineux",45,"Axe de pente","Total","5","1",683832.096453446,6440912.39310929
"Massif_central","M2","M2",1400.019995,"Bois mort au sol","Résineux",30,"Autre","Partiel","4","0",683834.325890546,6440922.27193856
